Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
e&n herts nhs trust - lister hospital ('our changing hospitals' phase 4 programme),E&N Herts NHS Trust - Lister Hospital ('Our Changing Hospitals' Phase 4 Programme),DoH,"Keyword Match (pre-2018, no Category field)",2013,2011-08-04,2014-03-17,956.0,Unknown,212.03,,2014,2014-03-17,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
east west rail connection state 1,EAST WEST RAIL CONNECTION STATE 1,DFT,Official Category,2024,2011-11-30,2025-09-01,5024.0,Unknown,1353.0,124.82,2024,2025-09-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
east west rail connection state 2 and 3,EAST WEST RAIL CONNECTION STATE 2 AND 3,DFT,Official Category,2024,2014-08-01,2030-10-09,5913.0,Amber,3970.0,175.29,2024,2030-10-09,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
east coast cluster anchor (ecc),East Coast Cluster Anchor (ECC),DESNZ,Official Category,2024,,,,Unknown,43.0,43.0,2024,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
east coast digital programme,East Coast Digital Programme,DFT,Official Category,2020,2017-05-01,2030-10-14,4914.0,Unknown,3477.0,352.34,2024,2030-10-14,Amber,5,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
east coast mainline programme,East Coast Mainline Programme,DFT,Official Category,2018,2014-04-01,2023-12-01,3531.0,Amber/Green,1040.37,141.2,2024,2026-06-02,Unknown,6,914.0,1.0,Schedule Slippage (>=2 valid annual observations)
east west rail configuration state 1,East West Rail Configuration State 1,DFT,Official Category,2020,2011-11-30,2025-09-01,5024.0,Amber,1353.0,124.82,2023,2025-09-01,Amber,4,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
east west rail connection stage 2 & 3,East West Rail Connection Stage 2 & 3,DFT,Official Category,2020,2014-08-01,2030-10-09,5913.0,Unknown,3970.0,175.29,2023,2030-10-09,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
east west rail programme (western section),East West Rail Programme (Western Section),DFT,"Keyword Match (pre-2018, no Category field)",2016,2012-10-31,2024-03-31,4169.0,Amber/Red,1592.0,72.5,2018,2024-06-30,Amber,3,91.0,1.0,Schedule Slippage (>=2 valid annual observations)
ely area capacity enhancements programme,Ely Area Capacity Enhancements Programme,DFT,Official Category,2021,2015-01-01,2032-06-01,6361.0,Amber,1017.94,7.78,2021,2032-06-01,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
emergency services mobile communications programme (esmcp),Emergency Services Mobile Communications Programme (ESMCP),HO,Official Category,2018,2011-06-01,2020-12-31,3501.0,Amber/Red,5058.63,773.87,2023,2026-12-31,Red,5,2191.0,1.0,Schedule Slippage (>=2 valid annual observations)
