Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
dft_0005_1112-q1,DFT_0005_1112-Q1,DFT,Official Category,2019,2005-06-01,2020-06-04,5482.0,Amber,6445.73,38.46,2019,2020-06-04,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0016_1112-q1,DFT_0016_1112-Q1,DFT,Official Category,2019,2005-07-01,2026-12-31,7853.0,Amber,7269.4,84.1,2019,2026-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0020_1314-q2,DFT_0020_1314-Q2,DFT,Official Category,2019,2012-09-01,2021-09-30,3316.0,Green,1435.3,401.0,2019,2021-09-30,Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dft_0024_1516-q4,DFT_0024_1516-Q4,DFT,Official Category,2019,2014-12-01,2028-06-01,4931.0,Amber,1919.9,39.7,2019,2028-06-01,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0025_1617-q1,DFT_0025_1617-Q1,DFT,Official Category,2019,2011-11-30,2024-06-30,4596.0,Red,1091.5,112.1,2019,2024-06-30,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dft_0026_1617-q1,DFT_0026_1617-Q1,DFT,Official Category,2019,2011-12-01,2024-12-31,4779.0,Amber,5007.0,289.0,2019,2024-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0027_1617-q1,DFT_0027_1617-Q1,DFT,Official Category,2019,2011-01-01,2024-12-31,5113.0,Amber,1671.2,299.3,2019,2024-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0028_1617-q1,DFT_0028_1617-Q1,DFT,Official Category,2019,2009-07-23,2022-12-31,4909.0,Amber/Red,5849.0,753.0,2019,2022-12-31,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dft_0029_1617-q1,DFT_0029_1617-Q1,DFT,Official Category,2019,2012-07-16,2019-12-31,2724.0,Amber/Green,817.7,49.42,2019,2019-12-31,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dft_0031_1819-q1,DFT_0031_1819-Q1,DFT,Official Category,2019,2015-04-01,2025-04-01,3653.0,Amber/Green,809.98,11.02,2019,2025-04-01,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dft_0033_1819-q1,DFT_0033_1819-Q1,DFT,Official Category,2019,2014-04-01,2023-12-01,3531.0,Amber,1040.4,208.8,2019,2023-12-01,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0034_1920-q2,DFT_0034_1920-Q2,DFT,Official Category,2019,2015-04-01,2028-05-01,4779.0,Amber,1145.37,12.98,2019,2028-05-01,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dh_0017_1112-q1,DH_0017_1112-Q1,DHSC,Official Category,2019,2013-06-28,2025-06-30,4385.0,Amber/Red,2656.32,311.25,2019,2025-06-30,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
defence estate optimisation,Defence Estate Optimisation,MOD,"Keyword Match (pre-2018, no Category field)",2017,2016-09-30,2041-03-31,8948.0,Amber/Red,0.0,0.0,2017,2041-03-31,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
defence information infrastructure,Defence Information Infrastructure,MOD,"Keyword Match (pre-2018, no Category field)",2013,2001-09-03,2015-03-21,4947.0,Unknown,7349.97,,2014,2015-03-21,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
defence infrastructure transformation programme,Defence Infrastructure Transformation Programme,MOD,"Keyword Match (pre-2018, no Category field)",2013,2011-01-03,2015-03-31,1548.0,Unknown,125.71,,2013,2015-03-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0022_1415-q4,DfT_0022_1415-Q4,DFT,Official Category,2019,2014-05-30,2028-07-31,5176.0,Amber,6052.2,165.0,2019,2028-07-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dft_0023_1516-q3,DfT_0023_1516-Q3,DFT,Official Category,2019,2015-07-01,2050-12-31,12967.0,Amber,32607.78,9.38,2019,2050-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
digital railway,Digital Railway,DFT,Official Category,2018,2016-11-23,2023-04-01,2320.0,Amber,450.0,32.0,2018,2023-04-01,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
e&n herts nhs trust - lift scheme - new qeii hospital in welwyn garden city,E&N Herts NHS Trust - LIFT scheme - new QEII hospital in Welwyn Garden City,DoH,"Keyword Match (pre-2018, no Category field)",2013,2011-03-23,2014-04-01,1105.0,Unknown,67.44,,2013,2014-04-01,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
